# list of object assets to load in this scene
[ASSETS]
mario.txt
coin.txt
cloud.txt
brick.txt
questionblock.txt
#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas, 4 = Coin,
5 = Platform, 6 = ColorBox, 7 = QuestionBlock
# See OBJECT_TYPE constants in AssetIDs.h

# MARIO
0	120	10

#COIN

#Platform
5	0	176	16	16	39
5	624	160	16	16	30
5	624	176	16	16	30
5	1168	176	16	16	22
5	1552	176	16	16	5
5	1680	176	16	16	36
5	2272	176	16	16	34

5	1520	96	16	16	2
5	1616	128	16	16	1
5	1600	144	16	16	2
5	1584	160	16	16	3
5	1680	160	16	16	3
5	1680	144	16	16	2
5	1680	128	16	16	1
5	2272	64	16	16	2
5	2272	128	16	16	2

#Colorbox
6	240	128	16	16	3
6	272	96	16	16	3
6	400	128	16	16	5
6	464	96	16	16	4
6	512	64	16	16	4
6	512	144	16	16	6
6	1280	144	16	16	7
6	1312	112	16	16	7
6	1344	80	16	16	7
6	2160	128	16	16	3
6	2192	32	16	16	3

#QuestionBlock
7	176	112
7	192	112	
#Portal 
#50	200	160	216	180	1

